episode,reward
0,-21.428571428571207
1,0.37174721189616056
2,-3.5369774919613404
3,-25.92592592592579
4,-30.55555555555554
5,-28.813559322033814
6,-31.74061433447095
7,-22.222222222222076
8,-16.666666666666895
9,-35.294117647059025
10,-31.147540983606504
11,-33.77483443708611
12,2.7397260273973063
13,-32.862190812720854
14,3.8961038961040035
15,-41.53846153846182
16,11.111111111111466
17,-40.65281899109822
18,-34.37500000000003
19,-37.500000000000064
20,-27.152317880794598
21,-13.580246913580226
22,-6.614785992218003
23,-27.15231788079476
24,-29.29292929292933
25,-2.1739130434780978
26,-11.877394636015572
27,-37.500000000000135
28,-31.506849315068532
29,23.63636363636323
30,-24.46043165467609
31,-14.454277286135504
32,-42.7710843373496
33,-41.17647058823548
34,-30.000000000000007
35,-25.650557620817814
36,-29.577464788732332
37,-32.90734824281164
38,-33.54430379746848
39,-24.46043165467621
40,-32.25806451612903
41,-28.813559322033818
42,-66.32996632996674
43,-36.395759717314526
44,-22.033898305084655
45,31.08614232209615
46,-7.643312101910912
47,-25.67567567567562
48,-8.450704225352723
49,-53.64238410596061
50,-30.303030303030493
51,-66.5551839464887
52,-37.853107344633
53,6.060606060605098
54,-24.398625429553686
55,-29.078014184397084
56,-21.232876712328856
57,-31.89964157706095
58,-26.666666666666845
59,10.236220472441035
60,-20.000000000000504
61,-20.4545454545456
62,-56.25000000000039
63,-24.999999999999968
64,-46.902654867256956
65,-20.577617328520116
66,18.055555555554676
67,-18.727915194346576
68,-34.256055363321835
69,-36.10223642172528
70,-33.55481727574751
71,-22.535211267605945
72,-48.0519480519483
73,-19.580419580419434
74,-32.86219081272088
75,-30.921052631579116
76,-49.66442953020184
77,-10.714285714285745
78,-38.08049535603738
79,-11.347517730497126
80,-26.470588235294308
81,-36.0269360269363
82,-33.11036789297678
83,-30.313588850174707
84,-20.962199312714603
85,-31.271477663230627
86,-23.875432525951872
87,-21.76870748299332
88,-24.187725631769407
89,6.007067137808313
90,62.36162361623581
91,-45.017182130584665
92,-12.891986062717908
93,-28.571428571428974
94,-24.187725631769474
95,-16.387959866220953
96,-36.70886075949437
97,-50.87719298245677
98,-28.82562277580093
99,-19.999999999999773
100,27.38853503184695
101,-22.558922558923115
102,5.610561056104537
103,-23.87543252595166
104,-13.357400722021866
105,-42.675159235668936
106,-23.61111111111128
107,-30.069930069930177
108,-13.461538461538224
109,32.01320132013094
110,-28.571428571428534
111,-25.08143322475589
112,-23.076923076923496
113,-47.54098360655778
114,-15.750915750916144
115,-51.04895104895147
116,-40.47619047619114
117,-3.6544850498340065
118,-21.708185053380692
119,-32.72171253822659
120,-25.170068027211126
121,-19.54022988505822
122,-27.797833935018247
123,-6.334655022754987e-13
124,-15.19434628975319
125,-28.32764505119511
126,-33.333333333334
127,-9.090909090908987
128,21.428571428570166
129,17.241379310343895
130,-12.698412698413307
131,-18.43971631205701
132,-27.586206896552287
133,-17.910447761194636
134,19.601328903653773
135,-31.81818181818219
136,-33.11036789297679
137,-8.22784810126617
138,-36.93693693693699
139,-21.146953405018657
140,-26.199261992620283
141,-27.586206896552177
142,-22.03389830508517
143,20.805369127515466
144,-20.689655172414344
145,-37.0860927152321
146,-36.46408839779014
147,-8.08823529411858
148,-12.6984126984132
149,-11.439114391144763
150,-26.421404682274677
151,25.54112554112421
152,-42.30769230769295
153,-31.34328358208957
154,-43.62017804154359
155,-17.60299625468195
156,-23.875432525951958
157,-34.78260869565284
158,1.5624999999990599
159,-29.078014184397738
160,-27.586206896552337
161,-33.33333333333389
162,-42.12218649517736
163,-43.181818181818805
164,27.659574468083974
165,7.382550335569475
166,-22.81879194630918
167,-38.05309734513326
168,-24.836601307189497
169,-27.868852459016857
170,-37.93103448275922
171,-37.321937321937554
172,-28.104575163399094
173,-55.62130177514832
174,-12.547528517111084
175,-28.80258899676428
176,-41.605839416058956
177,-52.72727272727316
178,-27.48091603053511
179,-54.86111111111187
180,-42.953020134228574
181,-4.411764705882946
182,-19.41391941391998
183,-34.25605536332249
184,-59.107806691450286
185,-27.00729927007374
186,-44.85294117647108
187,-44.27244582043361
188,-10.596026490066297
189,-39.285714285714505
190,-50.87719298245653
191,-41.37931034482819
192,-23.954372623574773
193,-69.46564885496213
194,-23.34494773519226
195,-30.2325581395355
196,-60.714285714286426
197,-29.368029739777565
198,-50.16611295681098
199,-57.51633986928171
200,-36.93693693693762
201,-21.70818505338158
202,11.940298507462254
203,-21.933085501859484
204,-8.496732026143782
205,-5.9561128526646545
206,-44.44444444444502
207,38.181818181817015
208,40.06514657980334
209,-2.0979020979026526
210,-33.566433566433865
211,-28.825622775801367
212,-26.315789473684873
213,22.222222222220964
214,-34.57943925233675
215,21.405750798721012
216,-38.405797101449835
217,-28.81355932203444
218,73.07692307692247
219,-55.1282051282055
220,-29.292929292929777
221,3.806228373702055
222,-30.158730158730723
223,-13.312693498452084
224,-48.051948051948386
225,41.89189189189078
226,46.666666666665556
227,18.705035971221825
228,-42.49201277955333
229,-56.25000000000046
230,-16.996047430830647
231,30.43478260869462
232,54.362416107381456
233,19.999999999998806
234,36.02941176470462
235,40.35087719298205
236,-2.0771513353114206
237,44.40433212996283
238,49.63503649634896
239,50.8196721311465
240,23.80952380952302
241,-28.33876221498445
242,51.006711409394796
243,138.09523809523992
244,114.2857142857157
245,52.31788079470073
246,40.740740740739724
247,100.00000000000256
248,28.83435582822012
249,37.323943661971676
250,-19.117647058824236
251,60.77170418006313
252,-0.3322259136216678
253,80.55555555555613
254,74.75728155339871
255,58.2278481012645
256,-1.6393442622956116
257,22.92358803986624
258,51.07913669064743
259,29.963898916966272
260,18.05555555555437
261,156.80933852140473
262,15.755627009645368
263,108.90410958904268
264,36.36363636363582
265,27.38853503184638
266,86.81318681318729
267,122.2222222222244
268,12.72727272727179
269,72.41379310344745
270,48.288973384031735
271,10.344827586206812
272,64.55696202531581
273,108.33333333333589
274,67.27272727272602
275,34.94809688581247
276,114.28571428571547
277,117.24137931034585
278,110.52631578947512
279,12.46200607902678
280,-15.492957746479458
281,49.65986394557713
282,99.36708860759683
283,143.13725490196478
284,71.92982456140334
285,68.58237547892594
286,62.79069767441738
287,99.28825622775895
288,42.3487544483992
289,155.47445255474727
290,97.8798586572454
291,79.15309446254058
292,65.71428571428497
293,94.94584837545237
294,63.70106761565959
295,71.4285714285706
296,46.757679180887386
297,42.857142857142065
298,44.781144781143865
299,85.81081081081322
300,58.904109589040196
301,126.76579925650661
302,84.39716312056846
303,-16.967509025271266
304,123.04832713754759
305,-2.5974025974033625
306,122.65625000000156
307,159.01639344262506
308,29.96389891696912
309,103.27868852459187
310,36.84210526315755
311,97.13261648745562
312,-4.436860068260316
313,-17.177914110430077
314,41.44736842105135
315,75.49668874172163
316,61.87050359712112
317,96.42857142857233
318,-2.621722846442979
319,98.17073170731801
320,1.6393442622942196
321,102.05479452054931
322,56.99658703071552
323,142.32081911262955
324,-38.08049535603753
325,0.3344481605344376
326,121.05263157894973
327,134.20074349442535
328,89.10256410256467
329,55.17241379310463
330,142.7536231884074
331,68.91891891892092
332,131.88405797101615
333,215.01831501831862
334,34.6801346801351
335,115.23178807947127
336,19.741100323623762
337,98.63013698630216
338,135.0993377483477
339,129.7297297297323
340,98.47328244275158
341,76.47058823529329
342,171.2933753943251
343,105.03597122302577
344,-26.056338028169744
345,47.5409836065563
346,150.000000000002
347,122.2222222222245
348,145.48736462094047
349,89.11174785100299
350,37.82051282051151
351,93.43065693430998
352,94.2675159235669
353,120.93023255814063
354,147.52475247525072
355,146.7948717948743
356,185.17110266160105
357,145.61403508772267
358,172.72727272727548
359,94.44444444444488
360,93.7500000000004
361,-10.59602649006712
362,205.78512396694575
363,132.25806451613175
364,178.98550724637806
365,115.56886227545117
366,108.33333333333326
367,193.2330827067711
368,103.43839541547314
369,173.80952380952726
370,174.5762711864429
371,49.305555555557156
372,-8.496732026144617
373,121.21212121212207
374,129.29936305732673
375,161.32404181185046
376,216.49831649832097
377,2.5641025641016406
378,135.49488054607679
379,50.68493150684918
380,120.93023255814222
381,177.9783393501833
382,-14.19141914191467
383,76.27118644067706
384,112.99638989169755
385,117.39130434782825
386,141.8772563176911
387,88.35616438356169
388,191.22807017544116
389,139.58333333333596
390,174.36823104693488
391,166.44736842105544
392,81.81818181818133
393,60.142348754448214
394,66.10169491525865
395,150.00000000000333
396,159.4936708860775
397,140.80267558528763
398,141.9354838709714
399,102.57234726688111
400,211.5384615384649
401,198.96907216495228
402,135.69023569023844
403,101.36518771331143
404,183.78378378378753
405,-7.142857142858096
406,189.71962616822793
407,122.22222222222481
408,134.48275862069238
409,228.35820895522787
410,179.8634812286726
411,143.50649350649618
412,-37.50000000000069
413,117.39130434782965
414,184.2465753424685
415,164.80836236934164
416,32.93051359516509
417,160.73619631902181
418,229.7101449275397
419,164.33121019108555
420,185.2233676975975
421,231.12582781457252
422,229.07348242811847
423,211.7408906882634
424,109.15032679738857
425,119.2691029900346
426,38.643067846607195
427,166.89189189189585
428,192.3076923076953
429,185.71428571428845
430,58.78378378378561
431,76.89530685920924
432,61.392405063294
433,181.8791946308762
434,-30.31358885017497
435,130.28391167192618
436,239.69465648855396
437,233.33333333333738
438,308.4507042253512
439,188.1944444444484
440,173.88535031847516
441,107.14285714285992
442,178.14569536423994
443,178.19548872180826
444,253.79061371841516
445,243.17343173432045
446,-16.94352159468519
447,-26.17449664429603
448,197.73462783171863
449,192.0962199312746
450,150.0000000000019
451,156.7567567567612
452,218.47133757962183
453,259.86159169550456
454,28.02768166090067
455,116.02787456446354
456,168.88217522658837
457,170.70063694267878
458,111.72638436482214
459,159.93883792049257
460,258.20895522388435
461,148.2993197278944
462,187.62541806020403
463,222.4637681159456
464,68.28478964401606
465,158.6206896551758
466,153.16455696202848
467,204.7945205479485
468,185.71428571428902
469,224.4147157190682
470,144.96644295302312
471,181.02189781022355
472,179.7202797202842
473,104.54545454545668
474,258.97435897436173
475,256.8904593639609
476,173.01587301587617
477,256.9023569023618
478,252.71317829457783
479,183.01886792453195
480,216.72597864769025
481,125.6097560975631
482,185.2459016393472
483,187.16216216216517
484,267.0886075949392
485,162.45847176080005
486,222.03389830508846
487,16.564417177913974
488,150.8474576271214
489,292.996108949418
490,73.77049180328225
491,273.4939759036158
492,234.61538461538777
493,129.5597484276756
494,156.31768953068914
495,237.7926421404724
496,258.6206896551751
497,123.68421052631773
498,174.6478873239461
499,155.4517133956412
500,171.18644067796936
501,322.22222222222035
502,166.1870503597167
503,224.67532467532885
504,107.23684210526592
505,267.13286713287005
506,152.25225225225608
507,210.1045296167283
508,219.07894736842448
509,178.35051546392197
510,158.27814569536758
511,97.18309859155347
512,143.24324324324456
513,46.4285714285743
514,165.37216828479094
515,251.8518518518535
516,60.409556313997214
517,210.95406360424374
518,283.05084745762827
519,89.02439024390279
520,156.09756097561342
521,191.1392405063337
522,217.567567567572
523,336.97478991596284
524,45.74898785425298
525,186.76470588235725
526,346.7213114754076
527,220.26143790850045
528,124.3346007604604
529,129.10216718266372
530,261.7886178861809
531,48.02631578947623
532,36.666666666666195
533,233.33333333333738
534,195.77464788732803
535,217.30769230769508
536,243.13725490196552
537,185.22336769759843
538,188.5906040268491
539,43.35664335664574
540,238.98305084746156
541,322.0532319391608
542,268.7943262411344
543,99.35691318328378
544,245.32374100719957
545,176.87296416938466
546,224.92113564669216
547,330.7116104868888
548,76.25899280575872
549,56.73981191222584
550,66.66666666667119
551,230.03300330033406
552,231.2883435582859
553,211.11111111111447
554,287.59689922480516
555,242.1926910299053
556,246.02076124567824
557,219.14893617021647
558,125.08038585209394
559,31.756756756757262
560,194.49838187702662
561,271.7105263157919
562,210.45751633987234
563,65.97510373444425
564,260.92715231788355
565,265.1877133105837
566,192.49011857707958
567,243.84858044164434
568,22.13740458015362
569,229.78723404255632
570,60.00000000000429
571,89.96415770609588
572,138.43416370107118
573,238.02816901408912
574,103.00751879699588
575,213.33333333333863
576,124.24242424242885
577,301.4084507042255
578,189.11564625850733
579,-52.04042553191241
580,287.3239436619721
581,332.34323432343336
582,277.41935483870924
583,147.38675958188585
584,261.8677042801588
585,231.2500000000041
586,272.4832214765123
587,456.862745098031
588,244.9477351916419
589,219.76744186046793
590,306.15384615384596
591,315.77060931899337
592,175.75757575757967
593,211.53846153846527
594,145.8471760797379
595,280.327868852459
596,277.30061349693284
597,263.94557823129514
598,332.88590604026706
599,221.76656151419968
