episode,reward
0,127.78454488801376
1,143.1736394931533
2,134.51512040610888
3,-44.01651155591731
4,-41.679580263610355
5,-48.13158503668213
6,23.23523674804346
7,18.100099541169207
8,25.052639316167
9,-15.844145223991962
10,-16.319692765257567
11,-12.364862172212176
12,-57.79779425271564
13,-52.83183955211747
14,-46.23261005552851
15,-7.167822210731588
16,-34.38867795516432
17,-37.2298669198212
18,88.69237981851974
19,43.90404658353882
20,43.61769647152903
21,65.0839720364654
22,48.599822847465184
23,67.68252507371399
24,74.90357038757246
25,41.34035919090899
26,41.54862420409538
27,114.68493113721826
28,125.68922006451392
29,114.359520755762
30,-59.380807027635775
31,-61.07449765249224
32,-67.31378626213339
33,-36.36611378663366
34,56.12559625339207
35,36.85006823797273
36,-70.09803367863645
37,76.76935664833334
38,3.4068858728311873
39,-11.853233140986191
40,5.311407788837931
41,2.469787304453391
42,8.720233945784909
43,-1.7721124239819637
44,34.86175542212373
45,-92.83311541935248
46,-89.16168381817403
47,-88.90877960715959
48,-34.15108720902903
49,-43.09078749746129
50,-37.133885564686665
51,-69.37355340575344
52,-90.25395597875738
53,-93.16942694679906
54,-65.46575815073867
55,-66.23201633061214
56,-59.60323359529038
57,-12.147196795430728
58,-18.216533088612504
59,-50.39049492544498
60,-39.330964415056584
61,-76.53094433947456
62,-43.807861115263535
63,-6.119895441571807
64,-1.1933750758967299
65,-16.93871656227087
66,26.112732338362125
67,14.714840124354787
68,25.838359849267505
69,39.03634906798643
70,46.840788834438115
71,31.911088170000486
72,5.298427911704451
73,-9.706075625928468
74,8.631716870169537
75,-8.67642521642097
76,-17.186821266127307
77,24.592253510218967
78,13.323491829184167
79,38.57333366733373
80,1.9175263035719476
81,2.6705644638851034
82,-8.227478428439975
83,7.627701427204908
84,100.23383568627686
85,102.96539592962446
86,87.22642314509292
87,-41.4432617910324
88,-53.99573040443298
89,-57.48868333286536
90,-92.67397002100051
91,-93.12712279492868
92,-93.39931842289127
93,-93.15032642455319
94,-92.48074988757153
95,-92.88225334772655
96,-93.52692118916653
97,-93.05517908685366
98,-93.92045178198622
99,-93.35525270988272
100,-92.42394346877967
101,-93.78856861853876
102,-92.48102441776172
103,-93.26578372992195
104,-93.86485612783783
105,-92.72711572807093
106,-92.9076155635903
107,-93.88360039374875
108,-92.59223580571054
109,-93.88345235144494
110,-92.90747869039174
111,-93.26518261472842
112,-92.77903047072675
113,-93.44187122104451
114,-93.6692316327474
115,-92.64531553852107
116,-93.10175198744525
117,-92.9810024713624
118,-93.35373479313404
119,-92.24593460062765
120,-93.24231534431621
121,-93.03039715745152
122,-92.50858363348743
123,-93.56825021166414
124,-94.01103005245237
125,-93.99318401565908
126,-93.58905593515087
127,-93.74916671135465
128,-93.4845728280175
129,-92.39469574527553
130,-92.53663648312876
131,-93.48461514385477
132,-93.33264642015672
133,-92.8564921157433
134,-93.10260350245105
135,-92.67302007757661
136,-92.69937001767548
137,-92.48015960159663
138,-92.6730837284811
139,-92.12446452629729
140,-92.9067993620495
141,-93.14908669299905
142,-93.26461502774471
143,-92.64385998089013
144,-92.85146780194898
145,-92.69245245209017
146,-93.37264836482225
147,-88.53685869181709
148,-93.38824067760198
149,-93.27495907642255
150,-89.97627130977486
151,-85.67663409701697
152,-89.45345109174849
153,-84.85961336456546
154,-90.73822159634351
155,-87.78507663904763
156,-43.275613516821664
157,-44.86344338523217
158,-43.83504489883661
159,5.793465471993857
160,6.860917127571488
161,19.970018731965926
162,-47.31508703597373
163,-27.483541917697327
164,-28.600026035443946
165,-76.95043559470442
166,-59.22014481770621
167,-60.490444865404186
168,-61.385525149538964
169,-65.07148478043267
170,-66.41035600561875
171,45.293707779910314
172,51.67145608880643
173,74.57202085868757
174,-74.45584617574563
175,-72.46459669261496
176,-70.80844840548963
177,-7.284495149850099
178,8.47733555405936
179,21.63035897834336
180,143.30905702245914
181,149.48489713296283
182,100.83412285315526
183,206.9926058597093
184,207.19392465254518
185,207.219785968901
186,206.37388668340347
187,206.86055654051887
188,206.47843408816965
189,206.61819437316058
190,206.75238021418963
191,206.34471025164245
192,206.89529122895303
193,206.80187742641255
194,205.71367427791927
195,206.84903243518974
196,207.0418765813542
197,205.9876322065295
198,207.04188065831138
199,206.89629920310108
200,207.24581805381297
201,205.98786920651824
202,206.89639730042552
203,207.19399682184934
204,206.49337095254577
205,206.71125829819988
206,207.63345245987543
207,207.51823591011888
208,207.43477035924977
209,206.51436696077923
210,206.87264280679878
211,206.71120971445447
212,207.16832338345256
213,207.19412415525187
214,207.40725455725797
215,206.19183201804825
216,206.45130604063516
217,207.751598935397
218,206.38956796807068
219,206.4932869457599
220,206.8963436026019
221,207.57549488020865
222,206.36914229438736
223,207.19410437843166
224,206.26941870511047
225,207.32519720947957
226,206.87263107660547
227,207.3793498010013
228,206.59977863848272
229,207.3255215421947
230,207.16806113493723
231,207.1924872567351
232,207.16744000685512
233,205.8296910024617
234,206.88117755240592
235,207.06271371999625
236,206.32146791174623
237,207.73495634945144
238,207.3344210890014
239,206.69355274968436
240,209.272638199781
241,209.9613966238781
242,208.91050199513106
243,208.0012736331082
244,212.48380821242392
245,205.06115108630357
246,210.43435759479027
247,207.1418107525137
248,211.1530676433284
249,207.51538344120382
250,208.79118718170187
251,208.0637415428779
252,211.66263178558626
253,210.27624719712028
254,209.12712576091408
